||||||||||||||||||||||'январь'||'февраль'||'март'||'апрель'||'май'||'июнь'||'июль'||'август'||'сентябрь'||'октябрь'||'ноябрь'||'декабрь'||'Итого'||||||
||||||||||'диаметр ввода'|'давление на вводе'|'температурный график тепловой сети'|'наличие ГВС (да/нет)'|'необходимость резерва ГВС'|'наличие систем учета'|'необходимость диспетчеризации'|'схема присоеденения к тепловой сети'|'резервирование насосов ГВС'|'примечание'|||||||||||||||||||||||||||||||||
||||||||||||||||||||'Суммарный объем'|'Суммарный объем'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'Суммарный объем'||||||
1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|
525|1203033|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'Отопление'|'Гкал'|1|1|57|'6,6 / 3,0'|'120-70 0С'|'нет'|'нет'|'да'|'да'|'ЭЛЕВАТОР '|'нет'|0|873,93|638,38|149,8|'Д'|98|'Д'|128,3|'Д'|86,4|'Д'|14,4|'Д'|||||||||101,7|'Д'|89,77|'Д'|117,1|'Д'|785,47|0,34|'120-70 0С'|'зависимая '|1|'отсутствует'|
526|1203034|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'Отопление'|'Гкал'|1|1|57|'6,6 / 3,0'|'120-70 0С'|'нет'|'нет'|'да'|'да'|'ЭЛЕВАТОР '|'нет'|0|875,76|730,69|146,2|'Д'|117,8|'Д'|147|'Д'|99,2|'Д'|16,4|'Д'|||||||||117,2|'Д'|94,81|'Д'|110,9|'Д'|849,51|0,34|'120-70 0С'|'зависимая '|1|'отсутствует'|
527|1203035|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'Отопление'|'Гкал'|1|1|57|'6,6 / 3,0'|'120-70 0С'|'нет'|'нет'|'да'|'да'|'ЭЛЕВАТОР '|'нет'|0|885,69|878,44|105,13|'МР'|104,98|'МР'|105,13|'МР'|105,13|'МР'|93,45|'МР'|||3,43||||||99,78|'МР'|98,23|'МР'|100,46|'МР'|815,72|0,34|'120-70 0С'|'зависимая '|1|'отсутствует'|
528|1203036|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'Отопление'|'Гкал'|1|1|89|'6,6 / 3,0'|'120-70 0С'|'нет'|'нет'|'да'|'да'|'ЭЛЕВАТОР '|'нет'|0|754,93|752,92|91,47|'МР'|91,47|'МР'|91,47|'МР'|91,47|'МР'|81,3|'МР'|||2,07||||||86,92|'МР'|87,98|'МР'|85,73|'Д'|709,88|0,31|'120-70 0С'|'зависимая '|1|'отсутствует'|
529|1203037|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'Отопление'|'Гкал'|1|1|87|'6,6 / 3,0'|'120-70 0С'|'нет'|'нет'|'да'|'да'|'ЭЛЕВАТОР '|'нет'|0|685,86|687,42|81,95|'МР'|81,83|'МР'|81,95|'МР'|81,04|'МР'|72,84|'МР'|||1,72||||||77,65|'МР'|76,44|'МР'|89|'Д'|644,42|0,27|'120-70 0С'|'зависимая '|1|'отсутствует'|
530|1203038|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'горячая вода'|'куб.м'|1|1|89|'6,6 / 3,0'|'120-70 0С'|'да'|'нет'|'да'|'да'|'ЭЛЕВАТОР '|'нет'|0|612,35|762,81|124,08|'Д'|92,54|'Д'|122,64|'Д'|76,2|'МР'|26,05|'Д'|10,32|'Д'|6,988|'Д'|6,88|'Д'|10,04|'Д'|78,53|'Д'|75,91|'Д'|91,9|'Д'|722,078|0,25|'120-70 0С'|'зависимая '|1|'отсутствует'|
531|1203039|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'Отопление'|'Гкал'|0|1|57|'6,6 / 3,0'|'120-70 0С'|'нет'|'нет'|'да'|'да'|'ЭЛЕВАТОР '|'нет'|0|690,04|703,8|83,64|'МР'|83,64|'МР'|83,64|'МР'|83,64|'МР'|74,34|'МР'|2,06||||||||79,93|'МР'|78,15|'МР'|79,93|'МР'|648,97|0,27|'120-70 0С'|'зависимая '|1|'отсутствует'|
532|1203040|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'Отопление'|'Гкал'|1|1|98|'6,6 / 3,0'|'120-70 0С'|'нет'|'нет'|'да'|'да'|'ЭЛЕВАТОР '|'нет'|0|649,58|805,81|95,98|'МР'|95,98|'МР'|95,98|'МР'|95,98|'МР'|85,32|'МР'|||||||||92,52|'МР'|93,66|'МР'|113,23|'Д'|768,65|0,29|'120-70 0С'|'зависимая '|1|'отсутствует'|
533|1203041|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'Отопление'|'Гкал'|1|1|57|'6,6 / 3,0'|'120-70 0С'|'нет'|'нет'|'да'|'да'|'ЭЛЕВАТОР '|'нет'|0|876,48|890,72|106,34|'МР'|106,34|'МР'|106,34|'МР'|106,34|'МР'|94,52|'МР'|2,3||||||||101,76|'МР'|99,5|'МР'|120,7|'Д'|844,14|0,34|'120-70 0С'|'зависимая '|1|'отсутствует'|
534|1203042|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'Отопление'|'Гкал'|1|1|89|'6,6 / 3,0'|'120-70 0С'|'нет'|'нет'|'да'|'да'|'ЭЛЕВАТОР '|'нет'|0|1157,86|1323,2|160,94|'МР'|160,94|'МР'|160,94|'МР'|160,94|'МР'|143,06|'МР'|||||||2,32||164,44|'МР'|166,51|'МР'|167,38|'Д'|1287,47|0,55|'120-70 0С'|'зависимая '|1|'отсутствует'|
535|1203043|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'Отопление'|'Гкал'|1|1|89|'6,6 / 3,0'|'120-70 0С'|'нет'|'нет'|'да'|'да'|'ЭЛЕВАТОР '|'нет'|0|545,44|512,05|59,49|'МР'|59,49|'МР'|59,49|'МР'|59,49|'МР'|52,88|'МР'|||2||||||56,41|'МР'|60,75|'МР'|69,21|'Д'|479,21|0,23|'120-70 0С'|'зависимая '|1|'отсутствует'|
536|1203044|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'Отопление'|'Гкал'|1|1|57|'6,6 / 3,0'|'120-70 0С'|'нет'|'нет'|'да'|'да'|'ЭЛЕВАТОР '|'нет'|0|911,02|891,05|106,39|'МР'|106,39|'МР'|106,39|'МР'|106,39|'МР'|94,57|'МР'|1,3||||||||101,79|'МР'|101,79|'МР'|98,51||823,52|0,34|'120-70 0С'|'зависимая '|1|'отсутствует'|
537|1203045|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'горячая вода'|'куб.м'|5|1|89|'6,6 / 3,0'|'120-70 0С'|'да'|'нет'|'да'|'да'|'без элеваторная'|'да'|'АИТП'|7777,3|8514,69|1271,04|'Дср'|1238,09|'Дср'|1011,68|'Дср'|934,32|'Дср'|924,6|'Дср'|138,65|'Дсо'|135,35|'Дср'|161,13|'Дср'|134,01|'Дср'|898,26|'Д'|934,07|'Д'|949,02|'Д'|8730,22|2,29|'120-70 0С'|'зависимая '|'5 АУУ'|'отсутствует'|
538|1203046|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'Отопление'|'Гкал'|1|1|57|'6,6 / 3,0'|'120-70 0С'|'нет'|'нет'|'да'|'да'|'ЭЛЕВАТОР '|'нет'|0|897,74|887,04|106,35|'МР'|103,34|'МР'|106,35|'МР'|106,35|'МР'|94,53|'МР'|2,3||||||||101,74|'МР'|101,74|'МР'|98,46|'МР'|821,16|0,33|'120-70 0С'|'зависимая '|1|'отсутствует'|
539|1203047|'гуп тэк'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'Отопление'|'Гкал'|0|1|89|'6,6 / 3,0'|'120-70 0С'|'нет'|'нет'|'да'|'да'|'ЭЛЕВАТОР '|'нет'|0|615,28|589,84|91,93|'МР'|88,91|'МР'|91,93|'МР'|91,93|'МР'|26,7|'МР'|1,53||||||||89,09|'МР'|89,09|'МР'|89,09|'МР'|660,2|0,29644|'120-70 0С'|'зависимая '|1|'отсутствует'|
540|1203048|'гуп тэк'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'Отопление'|'Гкал'|1|1|89|'6,6 / 3,0'|'120-70 0С'|'нет'|'нет'|'да'|'да'|'ЭЛЕВАТОР '|'нет'|0|648,15|655,35|154,46|'Д'|125,12|'Д'|121,42|'Д'|86,6|'Д'|37,34|'Д'|1,37||||||||69,13|'Д'|68,41|'Д'|103,14||766,99|0,33965|'120-70 0С'|'зависимая '|1|'отсутствует'|
541|1203049|'гуп тэк'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'Отопление'|'Гкал'|1|1|89|'6,6 / 3,0'|'120-70 0С'|'нет'|'нет'|'да'|'да'|'ЭЛЕВАТОР '|'нет'|0|730,98|651,44|137,2|'Д'|118,96|'Д'|105,23|'Д'|86,82|'Д'|36,79|'Д'|1,55||||||||72,15|'Д'|90,61|'Д'|104,88|'Д'|754,19|0,35271|'120-70 0С'|'зависимая '|1|'отсутствует'|
542|1203050|'гуп тэк'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'Отопление'|'Гкал'|1|1|89|'6,6 / 3,0'|'120-70 0С'|'нет'|'нет'|'да'|'да'|'ЭЛЕВАТОР '|'нет'|0|665,34|594,87|123,58|'Д'|108,2|'Д'|111,55|'Д'|80,92|'Д'|34,55|'Д'|1,37||||||||68,11|'Д'|73,82|'Д'|96,04|'Д'|698,14|0,34869|'120-70 0С'|'зависимая '|1|'отсутствует'|
543|1203051|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'Отопление'|'Гкал'|0|1|89|'6,6 / 3,0'|'120-70 0С'|'нет'|'нет'|'нет'|'нет'|'ЭЛЕВАТОР '|'нет'|0|718,62|708,29|83,67|'МР'|83,67|'МР'|83,67|'МР'|83,67|'МР'|74,37|'МР'|||4,6||||||79,82|'МР'|79,82|'МР'|79,82|'МР'|653,11|0,28|'120-70 0С'|'зависимая '|1|'отсутствует'|
544|1203052|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'Отопление'|'Гкал'|0|1|89|'6,6 / 3,0'|'120-70 0С'|'нет'|'нет'|'нет'|'нет'|'ЭЛЕВАТОР '|'нет'|0|859,65|848,79|100,43|'МР'|100,43|'МР'|100,43|'МР'|100,43|'МР'|89,27|'МР'|||4,6||||||95,68|'МР'|95,68|'МР'|95,68|'МР'|782,63|0,33|'120-70 0С'|'зависимая '|1|'отсутствует'|
545|1203053|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'Отопление'|'Гкал'|0|1|89|'6,6 / 3,0'|'120-70 0С'|'нет'|'нет'|'нет'|'нет'|'ЭЛЕВАТОР '|'нет'|0|714,84|702,69|82,77|'МР'|82,77|'МР'|82,77|'МР'|82,77|'МР'|73,57|'МР'|||4,6||||||79,08|'МР'|79,08|'МР'|79,08|'МР'|646,49|0,28|'120-70 0С'|'зависимая '|1|'отсутствует'|
546|1203054|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'Отопление'|'Гкал'|0|1|89|'6,6 / 3,0'|'120-70 0С'|'нет'|'нет'|'нет'|'нет'|'ЭЛЕВАТОР '|'нет'|0|730,09|710,13|83,82|'МР'|83,82|'МР'|83,82|'МР'|83,82|'МР'|74,5|'МР'|7,6||||||||80,09|'МР'|80,09|'МР'|80,09|'МР'|657,65|0,29|'120-70 0С'|'зависимая '|1|'отсутствует'|
547|1203055|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'Отопление'|'Гкал'|0|1|89|'6,6 / 3,0'|'120-70 0С'|'нет'|'нет'|'нет'|'нет'|'ЭЛЕВАТОР '|'нет'|0|857,69|845,96|100,16|'МР'|100,16|'МР'|100,16|'МР'|100,16|'МР'|89,09|'МР'|4,2||||||||95,29|'МР'|95,29|'МР'|95,29|'МР'|779,8|0,33|'120-70 0С'|'зависимая '|1|'отсутствует'|
548|1203056|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'Отопление'|'Гкал'|0|1|89|'6,6 / 3,0'|'120-70 0С'|'нет'|'нет'|'нет'|'нет'|'ЭЛЕВАТОР '|'нет'|0|714,84|700,67|82,77|'МР'|82,77|'МР'|82,77|'МР'|82,77|'МР'|73,57|'МР'|4,2||||||||79,08|'МР'|79,08|'МР'|79,08|'МР'|646,09|0,28|'120-70 0С'|'зависимая '|1|'отсутствует'|
549|1203057|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'горячая вода'|'куб.м'|1|1|57|'6,6 / 3,0'|'120-70 0С'|'да'|'нет'|'да'|'да'|'ЭЛЕВАТОР '|'нет'|0|631,3|617,92|83,26|'Д'|68,97|'Д'|83,37|'Д'|64,93|'Д'|25,33|'Д'|13,13|'Д'|10,94|'Д'|11,24|'Д'|13,2|'Д'|49,43|'Д'|68,89|'Д'|94,86|'Д'|587,55|0,16|'120-70 0С'|'зависимая '|1|'отсутствует'|
550|1203058|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'Отопление'|'Гкал'|0|1|89|'6,6 / 3,0'|'120-70 0С'|'нет'|'нет'|'нет'|'нет'|'ЭЛЕВАТОР '|'нет'|0|714,74|709,5|82,64|'МР'|83,65|'МР'|83,65|'МР'|83,65|'МР'|74,36|'МР'|4,2||||||||79,85|'МР'|79,41|'МР'|79,85|'МР'|651,26|0,28|'120-70 0С'|'зависимая '|1|'отсутствует'|
551|1203059|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'горячая вода'|'куб.м'|0|1|57|'6,6 / 3,0'|'120-70 0С'|'да'|'нет'|'нет'|'нет'|'ЭЛЕВАТОР '|'нет'|0|1183,45|1289,69|116,4|'МР'|116,07|'МР'|115,33|'МР'|115,75|'МР'|99,87|'МР'|36,12|'МР'|37,94|'МР'|36,93|'МР'|35,33|'МР'|109,54|'МР'|106,45|'МР'|108,81|'МР'|1034,54|0,56|'120-70 0С'|'зависимая '|1|'отсутствует'|
552|1203060|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'Отопление'|'Гкал'|0|1|89|'6,6 / 3,0'|'120-70 0С'|'нет'|'нет'|'нет'|'нет'|'ЭЛЕВАТОР '|'нет'|0|872,92|847,46|98,8|'МР'|100,01|'МР'|100,01|'МР'|100,01|'МР'|88,9|'МР'|4,2||||||||95,26|'МР'|94,73|'МР'|95,26|'МР'|777,18|0,34|'120-70 0С'|'зависимая '|1|'отсутствует'|
553|1203061|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'горячая вода'|'куб.м'|1|1|57|'6,6 / 3,0'|'120-70 0С'|'да'|'нет'|'да'|'да'|'ЭЛЕВАТОР '|'нет'|0|1175,53|1248,22|184,15|'Д'|133,35|'Д'|191,45|'Д'|123,79|'Д'|51,84|'Д'|37,55|'Д'|30,02|'Д'|28,7|'Д'|39,9|'Д'|127,71|'Д'|128,64|'Д'|154,27|'Д'|1231,37|0,56|'120-70 0С'|'зависимая '|1|'отсутствует'|
554|1203062|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'горячая вода'|'куб.м'|1|1|57|'6,6 / 3,0'|'120-70 0С'|'да'|'нет'|'да'|'да'|'ЭЛЕВАТОР '|'нет'|0|606,41|717,91|71,03|'МР'|70,3|'МР'|70,26|'МР'|70,13|'МР'|55,05|'МР'|20,06|'МР'|20,8|'МР'|24,86|'МР'|20,4|'МР'|63,45|'МР'|63,63|'МР'|63,79|'МР'|613,76|0,28|'120-70 0С'|'зависимая '|1|'отсутствует'|
555|1203063|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'Отопление'|'Гкал'|0|1|89|'6,6 / 3,0'|'120-70 0С'|'нет'|'нет'|'нет'|'нет'|'ЭЛЕВАТОР '|'нет'|0|711,21|703,28|81,93|'МР'|82,93|'МР'|82,93|'МР'|82,93|'МР'|73,72|'МР'|4,2||||||||77,34|'МР'|78,71|'МР'|79,15|'МР'|643,84|0,28|'120-70 0С'|'зависимая '|1|'отсутствует'|
556|1203064|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'горячая вода'|'куб.м'|0|1|57|'6,6 / 3,0'|'120-70 0С'|'да'|'нет'|'нет'|'нет'|'ЭЛЕВАТОР '|'нет'|0|1205,76|1282,29|117,46|'МР'|115,65|'МР'|115,38|'МР'|114,84|'МР'|97,34|'МР'|34,57|'МР'|33,79|'МР'|40,51|'МР'|33,82|'МР'|107,78|'МР'|104,92|'МР'|106,78|'МР'|1022,84|0,57|'120-70 0С'|'зависимая '|1|'отсутствует'|
557|1203065|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'Отопление'|'Гкал'|0|1|89|'6,6 / 3,0'|'120-70 0С'|'нет'|'нет'|'нет'|'нет'|'ЭЛЕВАТОР '|'нет'|0|846,09|850,81|98,79|'МР'|100|'МР'|100|'МР'|100|'МР'|88,89|'МР'|7,6||||||||92,97|'МР'|94,61|'МР'|95,14|'МР'|778|0,35|'120-70 0С'|'зависимая '|1|'отсутствует'|
558|1203066|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'Отопление'|'Гкал'|0|1|89|'6,6 / 3,0'|'120-70 0С'|'нет'|'нет'|'нет'|'нет'|'ЭЛЕВАТОР '|'нет'|0|871,67|848,77|98,67|'МР'|99,88|'МР'|99,88|'МР'|99,88|'МР'|88,78|'МР'|4,2||||||||92,84|'МР'|94,48|'МР'|95,01|'МР'|773,62|0,34|'120-70 0С'|'зависимая '|1|'отсутствует'|
559|1203067|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'горячая вода'|'куб.м'|0|1|57|'6,6 / 3,0'|'120-70 0С'|'да'|'нет'|'нет'|'нет'|'ЭЛЕВАТОР '|'нет'|0|1129,72|1172,94|109,62|'МР'|107,74|'МР'|108,84|'МР'|108,51|'МР'|84,5|'МР'|27,19|'МР'|26,69|'МР'|30,48|'МР'|31,33|'МР'|96,51|'МР'|97,67|'МР'|97,67|'МР'|926,75|0,53|'120-70 0С'|'зависимая '|1|'отсутствует'|
560|1203068|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'Отопление'|'Гкал'|0|1|89|'6,6 / 3,0'|'120-70 0С'|'нет'|'нет'|'нет'|'нет'|'ЭЛЕВАТОР '|'нет'|0|873,82|845,92|99,08|'МР'|100,28|'МР'|100,28|'МР'|100,28|'МР'|89,14|'МР'|7,6||||||12,47||93,25|'МР'|94,9|'МР'|95,43|'МР'|792,71|0,34|'120-70 0С'|'зависимая '|1|'отсутствует'|
561|1203069|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'горячая вода'|'куб.м'|1|1|57|'6,6 / 3,0'|'120-70 0С'|'да'|'нет'|'да'|'да'|'ЭЛЕВАТОР '|'нет'|0|596,55|595,03|90,46|'Д'|68,17|'Д'|90,36|'Д'|57,74|'Д'|17,2|'Д'|12,72|'Д'|9,19|'Д'|17,32|'Д'|12,38|'Д'|62,89|'Д'|52,61|'Д'|71,76|'Д'|562,8|0,16|'120-70 0С'|'зависимая '|1|'отсутствует'|
562|1203070|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'горячая вода'|'куб.м'|0|1|57|'6,6 / 3,0'|'120-70 0С'|'да'|'нет'|'нет'|'нет'|'ЭЛЕВАТОР '|'нет'|0|1214,74|1302,69|119,66|'МР'|118,58|'МР'|118,59|'МР'|120,94|'МР'|93,31|'МР'|35,98|'МР'|39,63|'МР'|41,69|'МР'|37,2|'МР'|109,9|'МР'|109,68|'МР'|111,87|'МР'|1057,03|0,59|'120-70 0С'|'зависимая '|1|'отсутствует'|
563|1203071|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'Отопление'|'Гкал'|1|1|89|'6,6 / 3,0'|'120-70 0С'|'нет'|'нет'|'да'|'да'|'ЭЛЕВАТОР '|'нет'|0|886,7|872,35|104,26|'МР'|101,78|'МР'|104,26|'МР'|104,26|'МР'|92,67||1,3||||||||99,62|'МР'|99,62|'МР'|96,41|'МР'|804,18|0,33|'120-70 0С'|'зависимая '|1|'отсутствует'|
564|1203072|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'горячая вода'|'куб.м'|0|1|57|'6,6 / 3,0'|'120-70 0С'|'да'|'нет'|'нет'|'нет'|'ЭЛЕВАТОР '|'нет'|0|917,45|1113,63|81,04|'МР'|81,52|'МР'|82,18|'МР'|81,87|'МР'|64,41|'МР'|27,22|'МР'|23,18|'МР'|27,26|'МР'|21,32|'МР'|76,4|'МР'|74,4|'МР'|75,64|'МР'|716,44|0,45|'120-70 0С'|'зависимая '|1|'отсутствует'|
565|1203073|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'Отопление'|'Гкал'|1|1|89|'6,6 / 3,0'|'120-70 0С'|'нет'|'нет'|'да'|'да'|'ЭЛЕВАТОР '|'нет'|0|896,9|885,64|106,17|'МР'|103,17|'МР'|106,17|'МР'|106,17|'МР'|94,37||2,3||||||||101,58|'МР'|101,58|'МР'|98,3|'МР'|819,81|0,33|'120-70 0С'|'зависимая '|1|'отсутствует'|
566|1203074|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'горячая вода'|'куб.м'|0|1|57|'6,6 / 3,0'|'120-70 0С'|'да'|'нет'|'нет'|'нет'|'ЭЛЕВАТОР '|'нет'|0|1209,36|1462,11|108,77|'МР'|106,9|'МР'|107,8|'МР'|107,26|'МР'|84,12|'МР'|28,54|'МР'|29,68|'МР'|35,87|'МР'|28,39|'МР'|102,66|'МР'|98,88|'МР'|99,27|'МР'|938,14|0,59|'120-70 0С'|'зависимая '|1|'отсутствует'|
567|1203075|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'Отопление'|'Гкал'|0|1|89|'6,6 / 3,0'|'120-70 0С'|'нет'|'нет'|'нет'|'нет'|'ЭЛЕВАТОР '|'нет'|0|897,46|886,55|106,29|'МР'|103,29|'МР'|106,29|'МР'|106,29|'МР'|94,48||2,3||||||||101,69|'МР'|101,69|'МР'|98,41|'МР'|820,73|0,33|'120-70 0С'|'зависимая '|1|'отсутствует'|
568|1203076|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'Отопление'|'Гкал'|0|1|57|'6,6 / 3,0'|'120-70 0С'|'нет'|'нет'|'нет'|'нет'|'ЭЛЕВАТОР '|'нет'|0|608,86|699,08|83,14|'МР'|83,93|'МР'|83,93|'МР'|83,93|'МР'|83,76||4,6||||||||80,28|'МР'|80,28|'МР'|80,28|'МР'|664,13|0,19|'120-70 0С'|'зависимая '|1|'отсутствует'|
569|1203077|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'Отопление'|'Гкал'|0|1|57|'6,6 / 3,0'|'120-70 0С'|'нет'|'нет'|'нет'|'нет'|'ЭЛЕВАТОР '|'нет'|0|855,13|842,35|98,75|'МР'|99,69|'МР'|99,69|'МР'|99,69|'МР'|99,69||4,6||||||||94,91|'МР'|94,91|'МР'|94,91|'МР'|786,84|0,32|'120-70 0С'|'зависимая '|1|'отсутствует'|
570|1203078|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'Отопление'|'Гкал'|0|1|57|'6,6 / 3,0'|'120-70 0С'|'нет'|'нет'|'нет'|'нет'|'ЭЛЕВАТОР '|'нет'|0|856,46|844,63|99,05|'МР'|99,99|'МР'|99,99|'МР'|99,99|'МР'|99,99||4,6||||||||95,17|'МР'|95,17|'МР'|95,17|'МР'|789,12|0,32|'120-70 0С'|'зависимая '|1|'отсутствует'|
571|1203079|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'Отопление'|'Гкал'|0|1|57|'6,6 / 3,0'|'120-70 0С'|'нет'|'нет'|'нет'|'нет'|'ЭЛЕВАТОР '|'нет'|0|851,85|837,68|99,15|'МР'|98,41|'МР'|99,15|'МР'|99,15|'МР'|99,15||||||||4,5||94,27|'МР'|94,27|'МР'|94,27|'МР'|782,32|0,32|'120-70 0С'|'зависимая '|1|'отсутствует'|
572|1203080|'ТГК'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Московского района"""'|'Отопление'|'Гкал'|0|1|57|'6,6 / 3,0'|'120-70 0С'|'нет'|'нет'|'нет'|'нет'|'ЭЛЕВАТОР '|'нет'|0|853,41|885,86|105,2|'МР'|104,42|'МР'|105,2|'МР'|105,2|'МР'|105,2||||||||4,5||100,57|'МР'|100,57|'МР'|100,57|'МР'|831,43|0,3|'120-70 0С'|'зависимая '|1|'отсутствует'|
