||||||||||||||||||||||'январь'||'февраль'||'март'||'апрель'||'май'||'июнь'||'июль'||'август'||'сентябрь'||'октябрь'||'ноябрь'||'декабрь'||'Итого'|||||
||||||||||'диаметр ввода'|'давление на вводе'|'температурный график тепловой сети'|'наличие ГВС (да/нет)'|'необходимость резерва ГВС'|'наличие систем учета'|'необходимость диспетчеризации'|'схема присоеденения к тепловой сети'|'резервирование насосов ГВС'|'примечание'||||||||||||||||||||||||||||||||
||||||||||||||||||||'Суммарный объем'|'Суммарный объем'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'объем ТЭР'|'МР*'|'Суммарный объем'|||||
1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52
511|34369|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Приморского района"""'|'Отопление'|'Гкал'|1|'местное'|80|6,5|'150/70'|'да'|'нет'|'нет'|'да'|'элеваторная'|'нет'||1682,01|1705,89|254,06|'Д'|212,07|'Д'|187,34|'Д'|120,44|'Д'|22,74|'Д'|||||||||157,41|'Д'|191,46|'Д'|240,81|'Д'|1386,33|0,92649|'95/70'|'зависимая'|1|'разгружен'
512|34370|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Приморского района"""'|'Отопление'|'Гкал'|5|'местное'|80|6|'150/70'|'да'|'нет'|'нет'|'да'|'элеваторная'|'нет'||5380,73|5457,13|732,5|'Р'|732,5|'Р'|732,5|'Р'|732,5|'Р'|732,5|'Р'|||||||||720,94|'Р'|720,94|'Р'|720,94|'Р'|5825,32|4,12624|'95/70'|'зависимая'|5|'разгружен'
513|34371|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Приморского района"""'|'Отопление'|'Гкал'|1|'местное'|80|6,5|'150/70'|'да'|'нет'|'нет'|'да'|'элеваторная'|'нет'||1655,84|1679,36|250,08|'Д'|208,79|'Д'|209,41|'Д'|144,08|'Д'|58,14|'Д'|||||||||142,6|'Д'|168,47|'Д'|213,34|'Д'|1394,91|0,80793|'95/70'|'зависимая'|1|'разгружен'
514|34372|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Приморского района"""'|'Отопление'|'Гкал'|5|'местное'|80|5,5|'150/70'|'да'|'нет'|'нет'|'да'|'элеваторная'|'нет'||5143,61|5216,64|700,22|'Р'|700,22|'Р'|700,22|'Р'|700,22|'Р'|700,22|'Р'|||||||||686,48|'Р'|686,48|'Р'|686,48|'Р'|5560,54|3,68276|'95/70'|'зависимая'|5|'разгружен'
515|34373|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС №3 Приморского района"""'|'Отопление'|'Гкал'|4|'центральное'|80|6|'150/70'|'да'|'нет'|'нет'|'да'|'элеваторная'|'нет'||2259,59|2291,67|321,19|'Д'|298,45|'Д'|296,02|'Д'|119,17|'Д'|73,09|'Д'|||||||||177,38|'Д'|181,62|'Д'|226,28|'Д'|1693,2|1,09851|'105/70'|'зависимая'|4|'не разгружен'
516|34374|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС №3 Приморского района"""'|'Отопление'|'Гкал'|5|'центральное'|80|6|'150/70'|'да'|'нет'|'нет'|'да'|'элеваторная'|'нет'||3426,18|3474,83|466,42|'Р'|466,42|'Р'|466,42|'Р'|466,42|'Р'|466,42|'Р'|||||||||438,02|'Р'|438,02|'Р'|438,02|'Р'|3646,16|2,03879|'95/70'|'зависимая'|5|'не разгружен'
517|34375|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС №3 Приморского района"""'|'Отопление'|'Гкал'|2|'центральное'|80|6,5|'150/70'|'да'|'нет'|'да'|'нет'|'элеваторная'|'нет'||2296,84|2329,45|328,28|'Д'|302,16|'Д'|249,57|'Д'|186,05|'Д'|71,8|'Д'|||||||||150,58|'Д'|185,48|'Д'|246,31|'Д'|1720,23|1,06268|'95/70'|'зависимая'|2|'не разгружен'
518|34376|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС №3 Приморского района"""'|'Отопление'|'Гкал'|2|'центральное'|80|6,5|'150/70'|'да'|'нет'|'нет'|'да'|'элеваторная'|'нет'||1261,26|1279,17|171,7|'Р'|171,7|'Р'|171,7|'Р'|171,7|'Р'|171,7|'Р'|||||||||160,4|'Р'|160,4|'Р'|160,4|'Р'|1339,7|0,81167|'95/70'|'зависимая'|2|'не разгружен'
519|34377|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ЦТП'|'открытая'|'"ООО ""ЖКС №3 Приморского района"""'|'Отопление'|'Гкал'|2|'центральное'|80|6,5|'150/70'|'да'|'нет'|'да'|'нет'|'элеваторная'|'нет'||2251,93|2283,9|328,76|'Д'|291,6|'Д'|255,09|'Д'|182,3|'Д'|78,27|'Д'|||||||||141,34|'Д'|149,96|'Д'|209,71|'Д'|1637,03|1,06268|'95/70'|'зависимая'|2|'не разгружен'
520|34378|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Приморского района"""'|'Отопление'|'Гкал'|2|'местное'|80|5,5|'150/70'|'да'|'нет'|'нет'|'да'|'элеваторная'|'нет'||2373,18|2406,87|323,07|'Р'|323,07|'Р'|323,07|'Р'|323,07|'Р'|323,07|'Р'|||||||||314,4|'Р'|314,4|'Р'|314,4|'Р'|2558,55|1,7005|'95/70'|'зависимая'|2|'разгружен'
521|34379|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Приморского района"""'|'Отопление'|'Гкал'|2|'местное'|80|5,5|'150/70'|'да'|'нет'|'нет'|'да'|'элеваторная'|'нет'||2371,93|2405,61|322,9|'Р'|322,9|'Р'|322,9|'Р'|322,9|'Р'|322,9|'Р'|||||||||315,38|'Р'|315,38|'Р'|315,38|'Р'|2560,64|1,70014|'95/70'|'зависимая'|2|'разгружен'
522|34380|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Приморского района"""'|'Отопление'|'Гкал'|2|'местное'|80|5,5|'150/70'|'да'|'нет'|'нет'|'да'|'элеваторная'|'нет'||2767,05|2806,34|376,69|'Р'|376,69|'Р'|376,69|'Р'|376,69|'Р'|376,69|'Р'|||||||||361,91|'Р'|361,91|'Р'|361,91|'Р'|2969,18|1,69544|'95/70'|'зависимая'|2|'разгружен'
523|34381|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Приморского района"""'|'Отопление'|'Гкал'|1|'местное'|80|6|'150/70'|'да'|'нет'|'нет'|'да'|'элеваторная'|'нет'||573,58|581,73|65,89|'Р'|65,89|'Р'|65,89|'Р'|65,89|'Р'|65,89|'Р'|||||||||63,89|'Р'|63,89|'Р'|90,02|'Д'|547,25|0,51695|'95/70'|'зависимая'|1|'разгружен'
524|34382|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Приморского района"""'|'Отопление'|'Гкал'|2|'местное'|80|5,5|'150/70'|'да'|'нет'|'нет'|'да'|'элеваторная'|'нет'||3978,59|4035,08|573,65|'Д'|520,03|'Д'|531,11|'Д'|371,46|'Д'|154,1|'Д'|||||||||304,27|'Д'|344,2|'Д'|446,41|'Д'|3245,23|2,10884|'95/70'|'зависимая'|2|'разгружен'
525|34383|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Приморского района"""'|'Отопление'|'Гкал'|1|'местное'|80|5,5|'150/70'|'да'|'нет'|'нет'|'да'|'элеваторная'|'нет'||862,49|874,73|128,04|'Р'|128,04|'Р'|128,04|'Р'|41,46|'Д'|22,18|'Д'|||||||||107,4|'Д'|121,32|'Д'|146,41|'Д'|822,89|0,73717|'95/70'|'зависимая'|1|'разгружен'
526|34384|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Приморского района"""'|'Отопление'|'Гкал'|4|'местное'|80|5,5|'150/70'|'да'|'нет'|'нет'|'да'|'элеваторная'|'нет'||5399,24|5475,9|735,02|'Р'|735,02|'Р'|735,02|'Р'|735,02|'Р'|735,02|'Р'|||||||||734,23|'Р'|734,23|'Р'|734,23|'Р'|5877,79|3,78222|'95/70'|'зависимая'|4|'разгружен'
527|34385|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Приморского района"""'|'Отопление'|'Гкал'|1|'местное'|80|6|'150/70'|'да'|'нет'|'нет'|'да'|'элеваторная'|'нет'||683,75|693,46|81,3|'Р'|81,3|'Р'|81,3|'Р'|81,3|'Р'|81,3|'Р'|||||||||74,58|'Р'|74,58|'Р'|96,7|'Д'|652,36|0,52399|'95/70'|'зависимая'|1|'разгружен'
528|34386|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Приморского района"""'|'Отопление'|'Гкал'|0|'местное'|80|5,5|'150/70'|'да'|'нет'|'нет'|'да'|'элеваторная'|'нет'||2955,25|2997,21|402,31|'Р'|402,31|'Р'|402,31|'Р'|402,31|'Р'|402,31|'Р'|||||||||393,02|'Р'|393,02|'Р'|393,02|'Р'|3190,61|2,10568|'105/70'|'зависимая'|3|'разгружен'
529|34387|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Приморского района"""'|'Отопление'|'Гкал'|4|'местное'|80|5,5|'150/70'|'да'|'нет'|'нет'|'да'|'элеваторная'|'нет'||4432,62|4495,55|603,43|'Р'|603,43|'Р'|603,43|'Р'|603,43|'Р'|603,43|'Р'|||||||||589,25|'Р'|589,25|'Р'|589,25|'Р'|4784,9|3,20822|'105/70'|'зависимая'|4|'разгружен'
530|34388|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Приморского района"""'|'Отопление'|'Гкал'|6|'местное'|80|5,5|'150/70'|'да'|'нет'|'нет'|'да'|'элеваторная'|'нет'||6975,35|7074,39|899,17|'Р'|899,17|'Р'|899,17|'Р'|899,17|'Р'|899,17|'Р'|||||||||625,82|'Д'|701,25|'Д'|832,2|'Д'|6655,12|4,79|'105/70'|'зависимая'|6|'разгружен'
531|34389|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Приморского района"""'|'Отопление'|'Гкал'|4|'местное'|80|5,5|'150/70'|'да'|'нет'|'нет'|'да'|'элеваторная'|'нет'||2381,11|2414,92|324,15|'Р'|324,15|'Р'|324,15|'Р'|324,15|'Р'|324,15|'Р'|||||||||322,51|'Р'|322,51|'Р'|322,51|'Р'|2588,28|1,71989|'105/70'|'зависимая'|4|'разгружен'
532|34390|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Приморского района"""'|'Отопление'|'Гкал'|2|'местное'|80|5,5|'150/70'|'да'|'нет'|'нет'|'да'|'элеваторная'|'нет'||3179,63|3224,78|402,08|'Р'|402,08|'Р'|402,08|'Р'|402,08|'Р'|402,08|'Р'|||||||||305,17|'Д'|335,92|'Д'|382,17|'Д'|3033,66|2,43963|'105/70'|'зависимая'|2|'разгружен'
533|34391|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Приморского района"""'|'Отопление'|'Гкал'|9|'местное'|80|5,5|'150/70'|'да'|'нет'|'нет'|'да'|'элеваторная'|'нет'||9887,92|10028,32|1154,01|'Р'|1154,01|'Р'|1154,01|'Р'|1154,01|'Р'|1154,01|'Р'|||||||||1035,61|'Д'|1165,75|'Д'|1462,57|'Д'|9433,98|5,5103|'105/70'|'зависимая'|9|'разгружен'
534|34392|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Приморского района"""'|'Отопление'|'Гкал'|1|'местное'|80|5,5|'150/70'|'нет'||||'элеваторная'|'нет'||398,46|404,12|76,12|'Д'|71,06|'Д'|65,24|'Д'|40,09|'Д'|13,79|'Д'|||||||||25,55|'Д'|36,64|'Д'|51,68|'Д'|380,17|0,21881|'105/70'|'зависимая'|1|'разгружен'
535|34393|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Приморского района"""'|'Отопление'|'Гкал'|1|'местное'|80|5,5|'150/70'|'нет'||||'элеваторная'|'нет'||398,46|404,12|76,12|'Д'|71,06|'Д'|65,24|'Д'|40,09|'Д'|13,79|'Д'|||||||||25,55|'Д'|36,64|'Д'|51,68|'Д'|380,17|0,21881|'105/70'|'зависимая'|1|'разгружен'
536|34394|'"Государственное унитарное предприятие ""Топливно-энергетический комплекс Санкт-Петербурга"""'|'ИТП'|'открытая'|'"ООО ""ЖКС №3 Приморского района"""'|'Отопление'|'Гкал'|1|'местное'|80|5,5|'150/70'|'нет'||||'элеваторная'|'нет'||398,46|404,12|76,12|'Д'|71,06|'Д'|65,24|'Д'|40,09|'Д'|13,79|'Д'|||||||||25,55|'Д'|36,64|'Д'|51,68|'Д'|380,17|0,21881|'105/70'|'зависимая'|1|'разгружен'
